model,set,protocol,n,ci_low,ci_high,params_m,finetuned,ndcg@10,recall@5,recall@10,mrr@10,ndcg@10_seen,recall@10_seen,ndcg@10_unseen_articles,recall@10_unseen_articles,ndcg@10_unseen_codes,recall@10_unseen_codes
rubert-tiny2,dev,article,296,0.3640,0.4584,29.2000,False,0.4109,0.4831,0.5709,0.3612,0.4278,0.5946,0.3602,0.5000,,
RRF(BM25+FRIDA),test,chunk,728,0.7673,0.8147,0.0000,False,0.7917,0.8599,0.9107,0.7533,0.8074,0.9249,0.7580,0.8899,0.8045,0.9124
RRF(BM25+FRIDA),test,article,728,0.7635,0.8104,0.0000,False,0.7875,0.8626,0.9203,0.7448,0.8054,0.9283,0.7692,0.9037,0.7818,0.9263
RRF(BM25+FRIDA),golden,chunk,174,0.7727,0.8646,0.0000,False,0.8201,0.8582,0.9090,0.8070,0.8759,0.9397,0.7706,0.8822,0.8139,0.9052
RRF(BM25+FRIDA),golden,article,174,0.7645,0.8561,0.0000,False,0.8117,0.8573,0.9119,0.7970,0.8578,0.9483,0.7866,0.8736,0.7907,0.9138
RRF(BM25+FRIDA),external,chunk,25,0.8058,0.9625,0.0000,False,0.8915,0.9600,1.0000,0.8557,,,,,,
RRF(BM25+FRIDA),external,article,25,0.8154,0.9705,0.0000,False,0.9011,0.9200,1.0000,0.8702,,,,,,
RRF(BM25+FRIDA),dev,chunk,296,0.7414,0.8156,0.0000,False,0.7795,0.8615,0.9122,0.7365,0.7829,0.9144,0.7695,0.9054,,
RRF(BM25+FRIDA),dev,article,296,0.7620,0.8340,0.0000,False,0.7987,0.8784,0.9257,0.7577,0.7997,0.9234,0.7956,0.9324,,
RRF(BM25+ft-e5-small),test,chunk,728,0.7467,0.7964,0.0000,False,0.7720,0.8407,0.8942,0.7327,0.7846,0.9113,0.7513,0.8624,0.7759,0.9032
RRF(BM25+ft-e5-small),test,article,728,0.7451,0.7940,0.0000,False,0.7702,0.8516,0.8942,0.7301,0.7888,0.9044,0.7524,0.8807,0.7632,0.8940
RRF(BM25+ft-e5-small),golden,chunk,174,0.7451,0.8435,0.0000,False,0.7959,0.8295,0.8889,0.7822,0.8396,0.9310,0.7473,0.8391,0.8010,0.8966
RRF(BM25+ft-e5-small),golden,article,174,0.7284,0.8253,0.0000,False,0.7787,0.8544,0.8793,0.7683,0.8169,0.9138,0.7504,0.8362,0.7688,0.8879
RRF(BM25+ft-e5-small),external,chunk,25,0.8074,0.9625,0.0000,False,0.8915,0.9600,1.0000,0.8557,,,,,,
RRF(BM25+ft-e5-small),external,article,25,0.7807,0.9705,0.0000,False,0.8859,0.9600,0.9600,0.8613,,,,,,
RRF(BM25+ft-e5-small),dev,chunk,296,0.7358,0.8124,0.0000,False,0.7747,0.8480,0.8986,0.7350,0.7744,0.8919,0.7756,0.9189,,
RRF(BM25+ft-e5-small),dev,article,296,0.7544,0.8293,0.0000,False,0.7922,0.8514,0.9088,0.7548,0.7955,0.9099,0.7823,0.9054,,
ft-e5-small,test,chunk,728,0.8236,0.8644,117.7000,True,0.8447,0.9217,0.9478,0.8110,0.8348,0.9420,0.8446,0.9358,0.8582,0.9677
ft-e5-small,test,article,728,0.7821,0.8273,117.7000,True,0.8050,0.8777,0.9245,0.7666,0.8007,0.9215,0.8042,0.9174,0.8117,0.9355
ft-e5-small,golden,chunk,174,0.8311,0.9043,117.7000,True,0.8688,0.9291,0.9569,0.8502,0.8713,0.9655,0.8207,0.9052,0.9145,1.0000
ft-e5-small,golden,article,174,0.7873,0.8690,117.7000,True,0.8297,0.9033,0.9406,0.8081,0.8144,0.9483,0.8025,0.8822,0.8721,0.9914
ft-e5-small,external,chunk,25,0.8914,1.0000,117.7000,True,0.9505,1.0000,1.0000,0.9333,,,,,,
